brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
EVGA,GTX 1060,"EVGA GeForce GTX 1060 3GB SSC GAMING ACX 3.0, 03G-P4-6167-KR, 3GB GDDR5, LED, DX12 OSD Support (PXOC)",339.00,4.0,,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6167-kr/p/N82E16814487284?Description=gtx,NONE,EVGA,1152,"10.50"" x 4.38""",NVIDIA,EVGA ACX 3.0 Cooling,1607 MHz,1 x Dual-Link DVI-D,9-Oct-18,DirectX 12,3 x DisplayPort 1.4,Yes,None,8008 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-6167-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1060 SSC ACX3.0,NONE,8-Pin,NONE,NONE,Dual Slot,"400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",120W,Yes,-25,266.7,111.252,0.0,1607.0,8008.0,25.0
ASUS,GTX 1060,ASUS GeForce GTX 1060 3GB Phoenix Fan Edition VR Ready HDMI DP DVI Graphics Card (PH-GTX1060-3G),440.00,5.0,,https://www.newegg.com/asus-geforce-gtx-1060-ph-gtx1060-3g/p/N82E16814126208?Description=gtx,1708 MHz,ASUS,1152,"7.20"" x 4.76""",NVIDIA,Single Fan,1506 MHz,1 x DVI-D,21-May-20,NONE,2 x DisplayPort 1.4,NONE,NONE,8008 MHz,Dual-ball Bearing Fan reduces spinning friction for 2X longer lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,183 mm,7680 x 4320,192-Bit,3GB,GDDR5,PH-GTX1060-3G,4,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,6-Pin,No,Phoenix,Dual Slot,Recommended PSU: 500W,120W,Yes,-16,182.88,120.904,1708.0,1506.0,8008.0,16.0
EVGA,GTX 1060,EVGA GeForce GTX 1060 FTW+ Gaming DirectX 12 03G-P4-6367-KR 3GB 192-Bit GDDR5 PCI Express 3.0 FTW+ GAMING ACX 3.0 Video Card,350.00,5.0,,https://www.newegg.com/evga-geforce-gtx-1060-ftw-gaming-03g-p4-6367-kr/p/N82E16814487272?Description=gtx,1860 MHz,EVGA,1152,"10.50"" x 4.38""",NVIDIA,Double Fans,1632 MHz,1 x Dual-Link DVI-D,12-Sep-16,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1060 FTW+ Gaming,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-6367-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,No,NONE,Dual Slot,"400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",120W,Yes,-5,266.7,111.252,1860.0,1632.0,8008.0,5.0
MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6GT OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,410.00,4.0,,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6gt-ocv1/p/N82E16814137053?Description=gtx,1759 MHz,MSI,1280,"9.57"" x 4.53""",NVIDIA,Double Fans,1544 MHz,1 x DL-DVI-D,13-Jun-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,8008 MHz,"""Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP and Solid CAP components.Dual Fans Thermal Design- Dual fans covers more area of heatsink to take heat away more efficiently.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12 benchmark.GeForce GTX VR Ready- NVIDIAs unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""",ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,243 mm,NONE,192-Bit,6GB,GDDR5,GTX 1060 6GT OCV1,3,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Power Consumption: 120WRecommended PSU: 400W,120W,Yes,-38,243.078,115.062,1759.0,1544.0,8008.0,38.0
ASUS,GTX 1060,ASUS Turbo GeForce GTX 1060 TURBO-GTX1060-6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,489.00,4.0,,https://www.newegg.com/asus-geforce-gtx-1060-turbo-gtx1060-6g/p/N82E16814126115?Description=gtx,1708 MHz,ASUS,1280,"10.50"" x 4.38""",NVIDIA,Single Fan,1506 MHz,1 x DVI-D,9-Sep-19,NONE,2 x DisplayPort 1.4,NONE,NONE,8008 MHz,"Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,2 x HDMI 2.0,PCI Express 3.0,267 mm,7680 x 4320,192-Bit,6GB,GDDR5,TURBO-GTX1060-6G,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,6-Pin,NONE,Turbo,Dual Slot,NONE,120W,Yes,-48,266.7,111.252,1708.0,1506.0,8008.0,48.0
MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6G OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,249.99,4.0,,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6g-ocv1/p/N82E16814137095?Description=gtx,1759 MHz,MSI,1280,"7.40"" x 4.57""",NVIDIA,Single Fan,1544 MHz,1 x DL-DVI-D,22-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,8008 MHz,"""Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP and Solid CAP components.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR Ready- NVIDIAs unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""",ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,188 mm,NONE,192-Bit,6GB,GDDR5,GTX 1060 6G OCV1,3,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Power consumption: 120WRecommended PSU: 400W,120W,Yes,292 (90% Positive),187.96,116.078,1759.0,1544.0,8008.0,292.0
GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-3GD 2.0 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,345.00,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060g1-gaming-3gd-2-0/p/N82E16814125902?Description=gtx,NONE,GIGABYTE,1152,"10.94"" x 4.49""",NVIDIA,WINDFORCE 2X,1620 MHz (OC Mode)1594 MHz (Gaming Mode),1 x Dual-Link DVI-D,12-Mar-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz16.8M Customizable Color RGB Lighting,ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,278 mm,7680 x 4320,192-Bit,3GB,GDDR5,GV-N1060G1 GAMING-3GD 2.0,4,OpenGL 4.5,NONE,GV-N1060G1GAMING-3GD,NONE,8-Pin,NONE,NONE,Dual Slot,System PSU Limitation: 400W,120W,Yes,-19,277.876,114.046,0.0,1620.0,8008.0,19.0
GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060IXOC-6GD 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,489.00,5.0,,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060ixoc-6gd/p/N82E16814125903?Description=gtx,NONE,GIGABYTE,1280,"6.65"" x 5.16""",NVIDIA,Single Fan,1556 MHz in OC Mode1531 MHz in Gaming Mode,2 x Dual-link DVI-D,5-Jan-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memory90mm cooler with 3D active fanOne-click Super Overclocking17cm Compact Card Size,ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,169 mm,7680 x 4320,192-Bit,6GB,GDDR5,GV-N1060IXOC-6GD,4,OpenGL 4.5,NONE,GV-N1060IXOC-6GD,NONE,6-Pin,NONE,NONE,Dual Slot,Recommended PSU: 400W,120W,Yes,-26,168.91,131.064,0.0,1556.0,8008.0,26.0
ZOTAC,GTX 1060,Zotac Geforce GTX 1060 6GB Mini ZT-P10600A-10L Gaming Video Graphics Card GPU,199.99,5.0,,https://www.newegg.com/zotac-geforce-gtx-1060-6gb-mini/p/1FT-000M-002C8?Description=gtx,1708 MHz,ZOTAC,1280,"6.85"" x 4.38""",NVIDIA,Single Fan,1506 MHz,DL-DVI-D,7-Aug-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,NONE,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,174 mm,NONE,192-Bit,6GB,GDDR5,ZT-P10600A-10L,4,OpenGL 4.5,Windows 10 / 8 / 7,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Recommended Power Supply: 400W,120W,NONE,-8,173.99,111.252,1708.0,1506.0,8.0,8.0
ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 AMP!, ZT-P10600B-10M, 6GB GDDR5 Super Compact Dual-Fan IceStorm Cooling FREEZE Fan Stop",489.00,4.0,,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600b-10m/p/N82E16814500403?Description=gtx,1771 MHz,ZOTAC,1280,"8.27"" x 4.80""",NVIDIA,Dual Fan IceStorm,1556 MHz,1 x Dual-link DVI-D,16-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,Dual 90mm IceStormFREEZE TechSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU BOOST 3.0NVIDIA G-SyncNVIDIA GameStream,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,210 mm,7680 x 4320,192-Bit,6GB,GDDR5,ZT-P10600B-10M,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,NONE,ZOTAC GeForce GTX 1060 AMP! EditionDual 4-pin to 6-pin cableUser Manual,6-Pin,No,NONE,Dual Slot,Recommended Power Supply: 400W,120W,Yes,-58,210.058,121.92,1771.0,1556.0,8.0,58.0
PNY,GTX 1060,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606PB 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,299.99,4.0,,https://www.newegg.com/pny-geforce-gtx-1060-vcggtx10606pb/p/N82E16814133631?Description=gtx,1708 MHz,PNY,1280,"9.92"" x 4.40""",NVIDIA,Double Fans,1506 MHz,1 x DL-DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GBps,Simultaneous Multi-ProjectionVR ReadyNVIDIA Ansel SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320 @ 60HzDisplay Connectors- 3 x DisplayPort 1.4- HDMI 2.0b- DL-DVI,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,252 mm,7680 x 4320,192-Bit,6GB,GDDR5,VCGGTX10606PB,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,"Power and Thermal: 120WMinimum System Requirements:PCI Express-compliant motherboard with one dual-width x16 graphics slotOne 6-pin PCI Express supplementary power connectorsMinimum 400W or greater system power supply350MB of available hard-disk space4GB system memory (6GB or higher recommended)Windows 7-10, Linux, FreeBSDx86Internet connection",120W,Yes,237 (95% Positive),251.968,111.76,1708.0,1506.0,8.0,237.0
PNY,GTX 1060,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC2 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,489.00,5.0,,https://www.newegg.com/pny-geforce-gtx-1060-vcggtx10606xgpb-oc2/p/N82E16814133733?Description=gtx,1759 MHz,PNY,NONE,"9.92"" x 4.37""",NVIDIA,Double Fans,1544 MHz,1 x DVI-D,4-Jun-19,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,8008 MHz,NONE,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,252 mm,NONE,192-Bit,6GB,GDDR5,VCGGTX10606XGPB-OC2,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,NONE,120W,NONE,"1,139 (70% Positive)",251.968,110.998,1759.0,1544.0,8008.0,1.0
MSI,GTX 1060,MSI GAMING GeForce GTX 1060 6GB GDRR5 192-bit HDCP Support DirectX 12 Single Fan VR Ready OC Graphics Card (GTX 1060 6G OCV1),489.00,,,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6g-ocv1/p/1FT-0009-001K3?Description=gtx,1759 MHz,MSI,1280,"7.40"" x 4.57""",NVIDIA,Single Fan,1544 MHz,1 x DL-DVI-D,8-Aug-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,8008 MHz,"""Military Class 4 Components - Certified to MIL-STD-810G standards for top stability and quality. - Built with Hi-c CAP and Solid CAP components.  Afterburner Overclocking Utility - Wireless control through Android/iOS devices. - Predator: In-game video recording. - Kombustor: built-in DirectX12 benchmark.  NVIDIA G-SYNC - Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.  GeForce GTX VR Ready - NVIDIAs unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""",ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,188 mm,NONE,192-Bit,6GB,GDDR5,GTX 1060 6G OCV1,3,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Power consumption: 120W Recommended PSU: 400W,120W,Yes,0 reviews,187.96,116.078,1759.0,1544.0,8008.0,0.0
MSI,GTX 1060,MSI Geforce GTX 1060 6GB OC GDDR5 GeForce GTX 1060 6G OCV1 Video Card GPU,299.00,,,https://www.newegg.com/p/1FT-0009-002P9?Description=gtx,NONE,MSI,NONE,NONE,NVIDIA,Single Fan,NONE,NONE,20-Sep-19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,NONE,NONE,NONE,NONE,NONE,6GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,120W,NONE,0 reviews,0.0,0.0,0.0,0.0,0.0,0.0
ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 AMP Edition, ZT-P10600B-10M, 6GB GDDR5 PCI Express 3.0 Dual-link DVI, Display Port, HDMI IceStorm Cooling, Metal Wraparound Carbon ExoArmor exterior Graphics Card",489.00,,,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600b-10m/p/1FT-000M-00141?Description=gtx,1771 MHz,ZOTAC,1280,"8.27"" x 4.80""",NVIDIA,Double Fans,1556 MHz,1 x Dual-link DVI-D,18-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,Dual 90mm IceStorm  FREEZE Tech  Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA GPU BOOST 3.0  NVIDIA G-Sync  NVIDIA GameStream,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,210 mm,7680 x 4320,192-Bit,6GB,GDDR5,ZT-P10600B-10M,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,ZT-P10600B-10M,ZOTAC GeForce GTX 1060 AMP Edition Dual 4-pin to 6-pin cable User Manual,6-Pin,No,NONE,Dual Slot,Recommended Power Supply: 400W Power Consumption: 120W,120W,Yes,0 reviews,210.058,121.92,1771.0,1556.0,8.0,0.0
ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 Mini, ZT-P10600A-10L, 6GB GDDR5 Super Compact",489.00,,,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600a-10l/p/1FT-000M-00195?Description=gtx,1708 MHz,ZOTAC,1280,"6.85"" x 4.38""",NVIDIA,Single Fan,1506 MHz,1 x Dual-link DVI-D,21-May-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,"The GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies and the groundbreaking NVIVIDIA Pascal architecture, making it the perfect choice for high-definition gaming in one of the smallest sizes. - Get up to 3X the performance and power efficiency of previous-generation GPUs. - Experience fast, smooth, power-efficient gaming experiences with ultra-fast FinFET technology, plus support for DirectX 12 features. - Tap into advanced graphics technologies like NVIDIA GameWorks that provide a more interactive and cinematic experience, as well as incredibly smooth gameplay. - Discover next-generation NVIDIA VRWorks technologies for low latency, plug-and-play compatibility, and amazing performance that lets you hear and feel every moment.   PERFORMANCE - All-new NVIDIA Pascal architecture - Up to 3X faster than previous-generation graphics cards in VR gaming applications - Created with the new FinFET manufacturing process  GAMING TECHNOLOGIES - Faster, smoother gameplay - Synchronized frame delivery - Revolutionary new image-capture technology  VIRTUAL REALITY (VR)  - More immersive experiences - Reduced latency - Innovative new technologies, including audio, physics, and haptics",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,174 mm,NONE,192-Bit,6GB,GDDR5,ZT-P10600A-10L,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,NONE,ZOTAC GeForce GTX 1060 Mini 6GB User Manual,6-Pin,No,NONE,Dual Slot,Recommended Power Supply: 400W Power Consumption: 120W,120W,Yes,0 reviews,173.99,111.252,1708.0,1506.0,8.0,0.0
ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 Mini, ZT-P10600A-10L, 6GB GDDR5 Super Compact",489.00,4.0,,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600a-10l/p/N82E16814500402?Description=gtx,1708 MHz,ZOTAC,1280,"6.85"" x 4.38""",NVIDIA,Single Fan,1506 MHz,1 x Dual-link DVI-D,1-Oct-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,"The GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies and the groundbreaking NVIVIDIA Pascal architecture, making it the perfect choice for high-definition gaming in one of the smallest sizes.- Get up to 3X the performance and power efficiency of previous-generation GPUs.- Experience fast, smooth, power-efficient gaming experiences with ultra-fast FinFET technology, plus support for DirectX 12 features.- Tap into advanced graphics technologies like NVIDIA GameWorks that provide a more interactive and cinematic experience, as well as incredibly smooth gameplay.- Discover next-generation NVIDIA VRWorks technologies for low latency, plug-and-play compatibility, and amazing performance that lets you hear and feel every moment. PERFORMANCE- All-new NVIDIA Pascal architecture- Up to 3X faster than previous-generation graphics cards in VR gaming applications- Created with the new FinFET manufacturing processGAMING TECHNOLOGIES- Faster, smoother gameplay- Synchronized frame delivery- Revolutionary new image-capture technologyVIRTUAL REALITY (VR) - More immersive experiences- Reduced latency- Innovative new technologies, including audio, physics, and haptics",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,174 mm,NONE,192-Bit,6GB,GDDR5,ZT-P10600A-10L,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,NONE,ZOTAC GeForce GTX 1060 Mini 6GBUser Manual,6-Pin,No,NONE,Dual Slot,Recommended Power Supply: 400WPower Consumption: 120W,120W,Yes,-85,173.99,111.252,1708.0,1506.0,8.0,85.0
MSI,GTX 1060,MSI GeForce GTX 1060 6GB DirectX 12 GTX 1060 6GT OCV1 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Graphics Card,489.00,,,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6gt-ocv1/p/1FT-0009-000Z1?Description=gtx,1759 MHz,MSI,1280,"9.57"" x 4.53""",NVIDIA,Double Fans,1544 MHz,1 x DL-DVI-D,13-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,NONE,ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,243 mm,NONE,192-Bit,6GB,GDDR5,GTX 1060 6GT OCV1,3,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Power Consumption: 120W    Recommended PSU: 400W,120W,Yes,0 reviews,243.078,115.062,1759.0,1544.0,8008.0,0.0
EVGA,GTX 1060,EVGA GeForce GTX 1060 DirectX 12 03G-P4-5160-KR 3GB 192-Bit GDDR5 PCI Express 3.0 Video Card,335.00,,,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-5160-kr/p/1YU-00UH-00001?Description=gtx,1708 MHz,EVGA,1152,"10.50"" x 4.38""",NVIDIA,With Fan,1506 MHz,1 x Dual-Link DVI-D,21-May-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-5160-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,6-Pin,NONE,NONE,Dual Slot,"400 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",120W,Yes,0 reviews,266.7,111.252,1708.0,1506.0,8008.0,0.0
ASUS,GTX 1060,ASUS Phoenix GeForce GTX 1060 PH-GTX1060-6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,453.99,4.0,,https://www.newegg.com/asus-geforce-gtx-1060-ph-gtx1060-6g/p/N82E16814126243?Description=gtx,1708 MHz,ASUS,1280,"7.20"" x 4.76""",NVIDIA,Phoenix Fan,1506 MHz,1 x Dual-link DVI-D,12-Sep-20,NONE,2 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by NVIDIA Pascal with a 1708 MHz boost clock in shorter form factorPhoenix double-ball bearing fan provides superior airflow and cooling with 2x longer lifespanAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceVR-ready dual HDMI ports to simultaneously connect a VR device and display for immersive VR experiencesGPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0b,PCI Express 3.0,183 mm,7680 x 4320,192-Bit,6GB,GDDR5,PH-GTX1060-6G,4,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,6-Pin,No,Phoenix,Dual Slot,Recommended PSU: 500W,120W,Yes,0 reviews,182.88,120.904,1708.0,1506.0,8008.0,0.0
ASUS,GTX 1060,ASUS ROG STRIX-GTX1060-O6G-GAMING graphics card - GF GTX 1060 - 6 GB - 90YV09Q0-M0NA00,489.00,,,https://www.newegg.com/asus-geforce-gtx-1060-90yv09q0-m0na00/p/N82E16814126156?Description=gtx,1873 MHz,ASUS,1280,NONE,NVIDIA,NONE,1645 MHz,DVI-D,18-Dec-19,DirectX 12,2 x DisplayPort,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,2 x HDMI 2.0,PCI Express 3.0 x16,NONE,7680 x 4320,192-Bit,6GB,GDDR5,90YV09Q0-M0NA00,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,120W,NONE,0 reviews,0.0,0.0,1873.0,1645.0,0.0,0.0
