brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
PNY,GTX 1070,PNY GeForce GTX 1070 RGMX1070N3H8GS-KTN 8GB GDDR5 Video Card,335.0,4.0,,https://www.newegg.com/pny-geforce-gtx-1070-rgmx1070n3h8gs-ktn/p/N82E16814133701?Description=gtx,NONE,PNY,NONE,NONE,NVIDIA,NONE,NONE,NONE,30-Jan-19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,NONE,NONE,NONE,NONE,NONE,NONE,8GB,GDDR5,RGMX1070N3H8GS-KTN,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,150W,NONE,292 (90% Positive),0.0,0.0,0.0,0.0,0.0,292.0
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,629.0,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-gaming-8g/p/N82E16814127955?Description=gtx,1721 MHz (OC Mode)1708 MHz (Gaming Mode)1683 MHz (Silent Mode),MSI,1920,"10.98"" x 5.51""",NVIDIA,Double Fans,1531 MHz (OC Mode)1518 MHz (Gaming Mode)1506 MHz (Silent Mode),1 x DL-DVI-D,22-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottom maximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone",ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 GAMING 8G,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,2-Way SLI,NONE,Dual Slot,Power Consumption: 150WRecommended PSU: 500W,150W,Yes,-162,278.892,139.954,1721.0,1531.0,8008.0,162.0
ASUS,GTX 1070,ASUS GeForce GTX 1070 STRIX-GTX1070-8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,620.0,5.0,,https://www.newegg.com/asus-geforce-gtx-1070-strix-gtx1070-8g-gaming/p/N82E16814126111?Description=gtx,1721 MHz in OC mode1683 MHz in Gaming mode,ASUS,1920,"11.73"" x 5.28""",NVIDIA,Triple Fans,1531 MHz in OC mode1506 MHz in Gaming mode,1 x Dual-link DVI-D,9-Nov-18,NONE,2 x DisplayPort 1.4,Yes,NONE,8000 MHz,1721 MHz Boost Clock with Super Alloy Power II DeliveryAura RGB Lighting on both shroud and backplateNew ASUS FanConnect provides dual 4-pin GPU-controlled PWM fan headersDirectCU III with 0dB fan technology and patented wing-blade fansVR Ready with dual HDMI 2.0 ports to simultaneously connect headset & monitor,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5,STRIX-GTX1070-8G-GAMING,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,Dual Slot,NONE,150W,Yes,-67,297.942,134.112,1721.0,1531.0,8000.0,67.0
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,610.0,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-armor-8g-oc/p/N82E16814127951?Description=gtx,1746 MHz,MSI,1920,"10.98"" x 5.51""",NVIDIA,Double Fans,1556 MHz,1 x DL-DVI-D,5-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Armor 2X Thermal Design- TORX FanDispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment.- Advanced Airflow Control technologyImproves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility- Wireless control through Android/iOSdevices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 ARMOR 8G OC,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Power consumption: 150WRecommended PSU: 500W,150W,Yes,-53,278.892,139.954,1746.0,1556.0,8008.0,53.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 GAMING, 08G-P4-5171-KR, 8GB GDDR5, ACX 3.0 & Black Edition",620.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-5171-kr/p/N82E16814487279?Description=gtx,1683 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1506 MHz,1 x DVI,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5171-KR,Yes,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,-5,266.7,111.252,1683.0,1506.0,8008.0,5.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 08G-P4-6173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",620.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6173-kr/p/N82E16814487248?Description=gtx,1784 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1594 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLIw/HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12VulkanAPIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution -\t7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link\tDVIBuilt for EVGA Precision\tXOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6173-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,NONE,2-Way SLI,NONE,Dual Slot,"500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,-268,266.7,111.252,1784.0,1594.0,8008.0,268.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 SC2 GAMING iCX, 08G-P4-6573-KR, 8GB GDDR5, 9 Thermal Sensors, Asynchronous Fan Control, Thermal Display LED System, Optimized Airflow Fin Design, Die Cast/Form Fitted Baseplate",635.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6573-kr/p/N82E16814487320?Description=gtx,1784 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1594 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous MultiProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA GSYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with Lshaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,NONE,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6573-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,-20,266.7,111.252,1784.0,1594.0,8008.0,20.0
ASUS,GTX 1070,ASUS Turbo GeForce GTX 1070 TURBO-GTX1070-8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,599.0,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-turbo-gtx1070-8g/p/N82E16814126112?Description=gtx,1683 MHz,ASUS,1920,"10.50"" x 4.38""",NVIDIA,Single Fan,1506 MHz,1 x Native DVI-D,24-Jun-19,NONE,2 x DisplayPort 1.4,NONE,NONE,8008 MHz,"Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,TURBO-GTX1070-8G,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,SLI Ready,Turbo,Dual Slot,NONE,150W,Yes,-28,266.7,111.252,1683.0,1506.0,8008.0,28.0
EVGA,GTX 1070,EVGA GeForce GTX 1070 8GB ACX 3 Black Edition LED GDDR5 Video Graphics Card GPU,319.0,,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-5171-kr/p/1FT-001K-00722?Description=gtx,NONE,EVGA,NONE,NONE,NVIDIA,Double Fans,NONE,NONE,14-Sep-20,NONE,NONE,NONE,Air Cooler,NONE,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,NONE,PCI Express 3.0 x16,NONE,NONE,NONE,NONE,8GB,NONE,08G-P4-5171-KR,NONE,NONE,NONE,GTX 1070 ACX3.0 Black Edition,NONE,NONE,SLI Ready,ACX 3 Black Edition,NONE,NONE,150W,Yes,292 (90% Positive),0.0,0.0,0.0,0.0,0.0,292.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 Ti FTW2 GAMING 08G-P4-6775-KR, 8GB GDDR5 iCX - 9 Thermal Sensors & RGB LED G/P/M",680.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-ti-08g-p4-6775-kr/p/N82E16814487388?Description=gtx,1683+ MHz,EVGA,2432,"10.50"" x 5.06""",NVIDIA,EVGA iCX,1607+ MHz,1 x DL-DVI-D,9-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAdjustable RGB LEDAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology10+2 Phase Power Design",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6775-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin,SLI Ready,NONE,Dual Slot,"500 Watts or greater power supply****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotTwo available 8-pin PCI-E power connectorsTotal Power Draw: 235 Watts****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor",180W,Yes,-21,266.7,128.524,1683.0,1607.0,8008.0,21.0
ASUS,GTX 1070,ASUS Cerberus GeForce GTX 1070 Ti CERBERUS-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,670.0,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-ti-cerberus-gtx1070ti-a8g-gaming/p/N82E16814126231?Description=gtx,OC mode: 1746 MHzGaming mode: 1683 MHz,ASUS,2432,"10.63"" x 4.76""",NVIDIA,Double Fans,OC mode: 1670 MHzGaming mode: 1607 MHz,1 x DL-DVI-D,13-May-19,NONE,2 x DisplayPort 1.4,Yes,NONE,8008 MHz,"1683 MHz Boost Clock featuring 8GB GDDR5 256-bit memory and 2432 CUDA cores powered by NVIDIA PascalUnique wing-blade IP5X-certified fans with 0dB technology maximize cooling, and reliability testing on chart-topping titles to ensure gaming performanceAuto-Extreme manufacturing technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II componentsGPU Tweak II makes monitoring performance easier than ever, pushing clock speed performance up to 1721 MHz with just one clickAggressive metal backplate reinforces circuit board and protects sensitive components",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,270 mm,7680 x 4320,256-Bit,8GB,GDDR5,CERBERUS-GTX1070TI-A8G-GAMING,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,Cerberus,2.5-slot,NONE,180W,Yes,-23,270.002,120.904,1746.0,1670.0,8008.0,23.0
EVGA,GTX 1070,EVGA GeForce GTX 1070 Ti DirectX 12 08G-P4-6678-KR 8GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,685.0,4.0,,https://www.newegg.com/evga-geforce-gtx-1070-ti-08g-p4-6678-kr/p/N82E16814487392?Description=gtx,1683+ MHz,EVGA,2432,"10.50"" x 5.06""",NVIDIA,Double Fans,1607+ MHz,1 x DL-DVI-D,11-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6678-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin,SLI Ready,NONE,Triple Slot,"500 Watts or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.Two available 8-pin PCI-E power connectors.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor.",180W,Yes,-27,266.7,128.524,1683.0,1607.0,8008.0,27.0
ASUS,GTX 1070,ASUS Turbo GeForce GTX 1070 Ti TURBO-GTX1070TI-8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,670.0,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-ti-turbo-gtx1070ti-8g/p/N82E16814126226?Description=gtx,OC Mode: 1721 MHzGaming Mode (Default): 1683 MHz,ASUS,2432,"10.51"" x 4.38""",NVIDIA,Single Fan,OC Mode: 1645 MHzGaming Mode (Default): 1607 MHz,1 x Native DVI-D,9-Apr-19,NONE,2 x DisplayPort,NONE,NONE,8008 MHz,"Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,TURBO-GTX1070TI-8G,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,SLI Ready,Turbo,Dual Slot,NONE,180W,Yes,-19,266.954,111.252,1721.0,1645.0,8008.0,19.0
GIGABYTE,GTX 1070,GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TGAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,685.0,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-ti-gv-n107tgaming-8gd/p/N82E16814932013?Description=gtx,1721 MHz (OC Mode) 1683 MHz (Gaming Mode),GIGABYTE,2432,"11.02"" x 4.49""",NVIDIA,WINDFORCE 3X,1632 MHz (OC Mode) 1607 MHz (Gaming Mode),1 x Dual-link DVI-D,28-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1070 TiIntegrated with 8GB GDDR5 256-bit memory WINDFORCE 3X with Blade Fan DesignProtection Metal Back PlateRGB Fusion-16.7M Customizable Color LightingSupport up to 8K display @60Hz (requires 2 x DP1.3 connectors),ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N107TGAMING-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Recommended PSU: 500W,150W,Yes,-36,279.908,114.046,1721.0,1632.0,8008.0,36.0
GIGABYTE,GTX 1070,"GIGABYTE GeForce GTX 1070 Founders Edition GV-N1070D5-8GD-B, GBT GTX1070 Founders",619.99,5.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-fe-gv-n1070d5-8gd-b/p/N82E16814125870?Description=gtx,1683 MHz,GIGABYTE,1920,"11.02"" x 4.72""",NVIDIA,NONE,1506 MHz,1 x Dual-link DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,NONE,"Powered by NVIDIA GeForce GTX 1070Integrated with 8GB GDDR5 memory 256-bit memory interfaceNVIDIA GPU Boost 3.0Max Digital Resolution - 7680x4320@60HzDisplay Connectors - DP1.4, HDMI 2.0b, DL-DVI-D",ATX,GeForce GTX 1070 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N1070D5-8GD-B,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,Recommended PSU: 500W,NONE,Yes,291 (90% Positive),279.908,119.888,1683.0,1506.0,0.0,291.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,449.99,4.0,,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-titanium-8g/p/N82E16814137255?Description=gtx,1683 MHz,MSI,2432,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort,Yes,NONE,8008 MHz,"The Ultimate GAMING: TWIN FROZR VIPlay games in styleAccelerated by GAMING X horsepower and cooling its core to the fullest to top your game.Smooth Heat PipesSquared shape at bottom maximize heat transfer from the copper base plate.Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment.TORX 2.0 FAN: Supremely silentDispersion fan blade Steeper curved blade accelerating the airflow.Traditional fan blade Provides steady airflow to massive heat sink below.Double ball bearing Strong and lasting core for years of smooth gaming.Military Class certified componentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI,PCI Express 3.0 x16,NONE,279 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 Ti Titanium 8G,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,2-Way SLI,NONE,Dual Slot,Power Consumption: 180WRecommended PSU: 500W,180W,Yes,292 (90% Positive),278.892,139.954,1683.0,1607.0,8008.0,292.0
ASUS,GTX 1070,ASUS Dual GeForce GTX 1070 DirectX 12 DUAL-GTX1070-O8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,610.0,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-dual-gtx1070-o8g/p/N82E16814126119?Description=gtx,"OC Mode: 1797 MHzGaming Mode (Default): 1771 MHz* Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II",ASUS,1920,"9.45"" x 5.08""",NVIDIA,Double Fans,OC Mode: 1607 MHzGaming Mode (Default): 1582 MHz,1 x DVI-D,13-Apr-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,8008 MHz,"ASUS Dual series of GeForce GTX 1070 graphics provide sweet spot performance- 1797 MHz Boost Clock in OC mode for outstanding performance and gaming experience.- Unique Wing-Blade Fans for max air flow with 105% more air pressure.- Perfectly matched with ASUS X99-A II Overview motherboards for optimized style and performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-friendly HDMI Ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,NONE,240 mm,7680 x 4320,256-Bit,8GB,GDDR5,DUAL-GTX1070-O8G,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,SLI Ready,Dual,2.1 slots,NONE,150W,Yes,-66,240.03,129.032,1797.0,1607.0,8008.0,66.0
GIGABYTE,GTX 1070,"GIGABYTE GeForce GTX 1070 8GB WINDFORCE OC, GV-N1070WF2OC-8GD R2",620.0,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-gv-n1070wf2oc-8gd-r2/p/N82E16814125875?Description=gtx,1771 MHz in OC Mode1746 MHz in Gaming Mode,GIGABYTE,1920,"11.02"" x 5.16""",NVIDIA,WINDFORCE 2X,1582 MHz in OC Mode1556 MHz in Gaming Mode,1 x Dual-link DVI-D,28-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Power by GeForce GTX 1070Integrated with 8GB GDDR5/ 256-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60HzBuild with 6+2 power phases,ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N1070WF2OC-8GD R2,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-way SLI HB,NONE,Dual Slot,Recommended PSU: 500W,150W,Yes,-94,279.908,131.064,1771.0,1582.0,8008.0,94.0
