Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RoHS Compliant ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers
,['XFX'],,"['9.57"" x 4.88""']",['AMD'],['Double Fans'],['1286 MHz'],['Yes'],['1 x DL-DVI-D'],"['November 06, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['7.0 GHz'],['Yes'],['Microsoft Windows 10 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Advanced GDDR5 Memory TechnologyVulkan and Mantle Ready. Next Generation APIsOpenCL Support'],,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['Yes'],['243 mm'],['4096 x 2160'],['256-Bit'],['8GB'],['DDR5'],['RX-570P8DFD6'],,['OpenGL 4.5'],,,['Accessories:8-pin to 6-pin power cableDriver Disk Installation GuideInstallation DVD'],['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Minimum Power Supply Requirement: 500 wattsXFX Recommended Power Supply: XFX 550W PSU'],['150W'],['Yes'],['Yes'],"1,318 (80% Positive)"
,['GIGABYTE'],,"['9.13"" x 4.57""']",['AMD'],['WINDFORCE 2X'],['1255 MHz (OC Mode) / 1244 MHz (Gaming Mode)'],['Yes'],['1 x Dual-Link DVI-D'],"['November 30, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['7000 MHz'],['Yes'],['Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignRGB Fusion 2.0 - synchronize with other AORUS devicesStylish Metal Back PlateIntuitive AORUS Graphics Engine'],['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['232 mm'],['7680 x 4320'],['256-Bit'],['4GB'],['GDDR5'],['GV-RX570GAMING-4GD'],['5'],['OpenGL 4.5'],,,['Accessories:Graphics card quick guideDriver CD'],['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['System PSU Limitation: 450W'],['150W'],,['Yes'],0 reviews
,['XFX'],,"['9.57"" x 4.88""']",['AMD'],['Double Fans'],['1286 MHz'],['Yes'],['1 x DL-DVI-D'],"['March 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['7.0 GHz'],['Yes'],,,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['Yes'],['243 mm'],['4096 x 2160'],['256-Bit'],['8GB'],['DDR5'],['RX-570P8DFD6'],['6'],['OpenGL 4.5'],,,['Accessories: 8-pin to 6-pin power cable Driver Disk Installation Guide Installation DVD'],['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Minimum Power Supply Requirement: 500 watts XFX Recommended Power Supply: XFX 550W PSU'],['225W'],['Yes'],['Yes'],"2,687 (88% Positive)"
['1105 MHz'],['PowerColor'],,,['AMD'],['Double Fans'],,['YES (Software CrossFire)'],['1 x DL-DVI-D'],"['June 18, 2019']",['DirectX 12'],,['Yes'],,['1850 MHz (7.4 Gbps)'],,,['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,,['PCI Express 3.0'],,,,['256-Bit'],['8GB'],['GDDR5'],['AXRX 570 8GBD5-DMV3'],,['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Minimum System Power Requirement: 450W'],['225W'],,,(14)
['1105 MHz'],['PowerColor'],,,['AMD'],['Double Fans'],,['YES (Software CrossFire)'],['1 x DL-DVI-D'],"['April 06, 2018']",['DirectX 12'],,['Yes'],,['1850 MHz (7.4 Gbps)'],,,['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,,['PCI Express 3.0'],,,,['256-Bit'],['8GB'],['GDDR5'],['AXRX 570 8GBD5-DMV3'],,['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Minimum System Power Requirement: 450W'],['225W'],,,0 reviews
,['MSI'],,"['9.69"" x 5.12""']",['AMD'],['Double Fans'],['1268 MHz'],"['Crossfire, 2-Way (Bridgeless)']",['1 x DL-DVI-D'],"['May 01, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['7000 MHz'],['Yes'],,['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['1 x HDMI'],['PCI Express x16'],,['246 mm'],,['256-Bit'],['8GB'],['GDDR5'],['RX 570 ARMOR 8G OC'],['5'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Recommended PSU: 450W'],['225W'],,['Yes'],"2,687 (88% Positive)"
,['Corn Electronics'],['2048'],,['AMD'],['Double Fans'],['1244MHz'],,['1 x DVI'],"['February 11, 2019']",['DirectX 12'],['1 x DisplayPort'],,['Air Cooler'],,,,,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['240mm'],['7680 x 4320'],['256-Bit'],['4GB'],['GDDR5'],,,,,['RX570 XXX Edition'],,,,,['Dual Slot'],,,['225W'],,,0 reviews
['1284 MHz'],['SAPPHIRE'],,"['9.06"" x 4.92""']",['AMD'],['Double Fans'],,['Yes'],['1 x DL-DVI-D'],"['February 06, 2018']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,"['1750 MHz, 7000 MHz Effective']",['Yes'],['FreeSync TechnologyAMD Xconnect readyDirectX 12 OptimizedHDR ReadyFrame Rate Target ControlNITRO Quick Connect systemIntelligent Fan Control IIIBlack Diamond Choke 4Fuse protectionRadeon ChillRadeon Relive'],,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['2 x HDMI'],,,['230 mm'],['5120 x 2880'],['256-Bit'],['4GB'],['GDDR5'],['11266-04-20G'],['5'],['OpenGL 4.5'],['Windows 10Windows 7'],,,,,['PULSE'],['Dual Slot'],['2048 Stream Processors'],['Power Consumption: <180W500-Watt Power Supply (Suggestion)1 x 8-pin AUX Power ConnectorBlue-ray / HD DVD playback requires Blu-ray / HD DVD drivePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with'],['225W'],,['Yes'],(2)
['1284 MHz'],['SAPPHIRE'],,"['9.06"" x 4.92""']",['AMD'],['Double Fans'],,['Yes'],['1 x Dual Link DVI-D'],"['February 21, 2019']",['DirectX 12'],['2 x DisplayPort'],['Yes'],,"['1750 MHz, 7000 MHz Effective']",['Yes'],['FreeSync TechnologyQuad HD Display (4K*2K Support)AMD Xconnect readyHDR ReadyFrame Rate Target ControlNITRO Fan CheckNITRO Quick Connect systemIntelligent Fan Control IIIBlack Diamond Choke 4Radeon ChillRadeon Relive'],,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['2 x HDMI'],['PCI Express 3.0'],,['230 mm'],['5120 x 2880'],['256-Bit'],['8GB'],['GDDR5'],['11266-36-20G'],['5'],['OpenGL 4.5'],['Windows 10Windows 7'],,,['8-Pin'],,['PULSE'],['Dual Slot'],['2048 Stream Processors'],['Power Consumption: <180W500-Watt Power Supply (Suggestion)1 x 8-pin AUX Power ConnectorCD-ROM or DVD-ROM drive for installing softwarePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with'],['225W'],,,(1)
,['AMD'],,,['AMD'],['Single Fan'],['1206 MHz'],,,"['October 16, 2018']",,,,['Air Cooler'],,,,,['Radeon RX 570'],,,,['PCI Express 3.0'],,,,,['4GB'],,['RX 570'],,,,,,,,['Radeon'],,,,['225W'],,,0 reviews
,['ASRock'],,"['10.98"" x 4.99""']",['AMD'],['Double Fans'],['OC Mode: 1331 MHzDefault Mode: 1280 MHz Silent Mode: 1228 MHz'],,['1 x Dual-link DVI-D'],"['February 19, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['OC Mode: 7028 MHzDefault Mode: 7000 MHzSilent Mode: 6972 MHz'],,"['Double Ball Bearings Fan DesignHigh Performance Composite HeatpipesSupport 8K ResolutionGraphic Outputs: 3 DisplayPort, HDMI, DVIPhantom Gaming Tweak UtilityTemperature and Fan Speed MonitoringCore / Memory Clock TweakCore / Memory Voltage Tweak']",,['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['279 mm'],['7680 x 4320'],['256-Bit'],['4GB'],['GDDR5'],['RX570 4G OC'],['5'],['OpenGL 4.5'],,,['Accessories- 1 x Support CD- 1 x Quick Installation Guide'],['8-Pin'],,['Phantom Gaming X'],['Dual Slot'],['2048 Stream Processors'],,['150W'],,['Yes'],(14)
['1268 MHz'],['MSI'],,"['9.69"" x 5.12""']",['AMD'],['Double Fans'],,"['Crossfire, 2-Way (Bridgeless)']",['1 x DVI-D'],"['April 10, 2018']",['DirectX 12'],['3 x DisplayPort'],,,['7000 MHz'],['Yes'],"['Armor 2X Thermal Design- TORX Fan:Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.- Advanced Airflow Control technology: Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.- Supports multi-GPU setups.All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.']",['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,['246 mm'],,['256-Bit'],['4GB'],['GDDR5'],['RX 570 ARMOR 4G OC'],['5'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Recommended PSU: 450W'],['150W'],,['Yes'],(19)
,['MSI'],,"['10.87"" x 5.59""']",['AMD'],['Double Fans'],['1293 MHz (OC Mode)1281 MHz (Gaming Mode)1244 MHz (Silent Mode)'],"['Crossfire, 2-Way (Bridgeless)']",['1 x DL-DVI-D'],"['October 22, 2020']",['DirectX 12'],['2 x DisplayPort'],['Yes'],,['7100 MHz (OC Mode )7000 MHz (Gaming/Silent Mode)'],['Yes'],"['TWIN FROZR VISmooth heat pipes: Squared shape at bottom maximize heat transfer from the copper base plateZero Frozr: Stopping the fan in low-load situations, keeping a noise-free environmentAirflow Control technology: Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silentDispersion fan blade: Steeper curved blade accelerating the airflowTraditional fan blade: Provides steady airflow to massive heat sink belowGaming AppInstant Performance Gain: Unlock extra performance or keep your card silent during light use in one clickLED control: Full control on your RGB GAMING LEDs to set the moodMobile APP: Control your graphics card from your phone']",['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['2 x HDMI'],['PCI Express x16'],,['276 mm'],,['256-Bit'],['8GB'],['GDDR5'],['RX 570 GAMING X 8G'],['5'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Recommended PSU: 450W'],['120W'],,['Yes'],(2)
['1284 MHz'],['SAPPHIRE'],,"['9.06"" x 4.92""']",['AMD'],['Double Fans'],,['Yes'],,"['July 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['7000 MHz'],['Yes'],['Sapphire Features:Dual-X CoolingLong Life Dual Ball Bearing FansIntelligent Fan Control IIIQuick Connect SystemLong Life CapacitorBack plateBlackDiamond 4 ChokesFuse protection AMD Features:Radeon VR Ready PremiumRadeon SoftwareRadeon FreeSync TechnologyAMD LiquidVR Technology4th Gen GCN ArchitectureRadeon ChillRadeon ReLive DirectX 12 TechnologyAMD Eyefinity Technology (Gaming)AMD App AccelerationAMD CrossFire TechnologyAMD CrossFire (Bridgeless)3rd Gen 14nm Process TechnologyOpenCL 2.0OpenGL 4.5AMD PowerTune TechnologyTrueAudio NextUnified Video Decoder (UVD)Video Code Engine (VCE)Virtual Super ResolutionThe Vulkan API'],,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['2 x HDMI'],['PCI Express 3.0'],,['230 mm'],['DisplayPort: 5120x2880@60HzHDMI: 4096x2160@60Hz'],['256-Bit'],['8GB'],['GDDR5'],['11266-66-20G'],['4'],['OpenGL 4.5'],"['Windows 10, Windows 7, 64-bit operating system required']",,,['8-Pin'],,['PULSE'],['Dual Slot'],['2048 Stream Processors'],['500-Watt or greater power supply (Recommended)1 x 8-pin Power ConnectorPCI Express compliant motherboard with one x16 graphics slot'],['<180W'],,['Yes'],0 reviews
