3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,,['EVGA'],,,['NVIDIA'],['Single Fan'],,,"['August 01, 2020']",,,,,,,,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,,,,,,,['11GB'],,,,,,,,,,,,,,,,['250W'],,(3)
,['1670 MHz'],['EVGA'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1556 MHz'],['1 x Dual-Link DVI-D'],"['October 26, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCiCX CoolingNew vented heatsink fin design and pin fins for optimized airflowRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6393-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['1 x 6-Pin1 x 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],291 (90% Positive)
,['1771 MHz (OC Mode)1759 MHz (Gaming Mode)1733 MHz (Silent Mode)'],['MSI'],['2560'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1632 MHz (OC Mode)1620 MHz (Gaming Mode)1607 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['January 17, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottommaximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone']",['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['279 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX 1080 GAMING 8G'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power Consumption: 180WRecommended PSU: 500W'],['180W'],['Yes'],(87)
,['1860 MHz in OC Mode1835 MHz in Gaming Mode'],['GIGABYTE'],['2560'],"['11.02"" x 4.49""']",['NVIDIA'],['Triple Fans'],['1721 MHz in OC Mode1695 MHz in Gaming Mode'],['1 x Dual-link DVI-D'],"['November 16, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],['Power by GeForce GTX 1080Integrated with 8GB GDDR5X 256-bit memoryWINDFORCE 3X with Blade Fan DesignSupport up to 8K display @60Hz (requires 2 x DP1.3 connectors)16.8M Customizable Color RGB Lighting'],['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['280 mm'],['7680 x 4320 (requires 2 x DP1.3 connectors)'],['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080G1 GAMING-8GD'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Recommended PSU: 500W'],['180W'],['Yes'],(131)
,['1733 MHz'],['ASUS'],['2560'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1607 MHz'],['1 x Dual-link DVI-D'],"['November 09, 2018']",,['2 x DisplayPort 1.4'],,,['10000 MHz'],['1733 MHz Boost Clock with Super Alloy Power II Delivery Aura RGB Lighting on both shroud and backplate New ASUS FanConnect provides dual 4-pin GPU-controlled PWM fan headers DirectCU III with 0dB fan technology and patented wing-blade fans 4K and VR Ready with dual HDMI 2.0 ports to simultaneously connect headset & monitor'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],,['256-Bit'],['8GB'],['GDDR5X'],['STRIX-GTX1080-8G-GAMING'],,['OpenGL 4.5'],,,,,,,,,['Dual Slot'],,,['180W'],,(63)
,['N/A'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1569 MHz'],['1 x Dual-Link DVI-D'],"['December 21, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA SLI w/ HB Bridge Support  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12  Vulkan API  OpenGL 4.5 Support  Max Digital Resolution - 7680 x 4320  HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI  Built for EVGA Precision XOC  Asynchronous Fans  9 additional temp sensors to monitor Memory and VRM  GPU / Memory / PWM Thermal Status Indicator LEDs  New vented heatsink fin design and pin fins for optimized airflow  Safety fuse to protect components from damage due to improper installation or other component failures  Redesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation  EVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6696-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 Ti FTW3'],,['2 x 8-Pin or 6+2-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600 Watts or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],291 (90% Positive)
,['1733 MHz'],['EVGA'],['2560'],"['10.50"" x 5.06""']",['NVIDIA'],['ACX 3.0'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['October 09, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['EVGA Double BIOSVR ReadyNVIDIA SLI w/ HB Bridge SupportNVIDIA GameStreamMicrosoft DirectX 12 APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320Built for EVGA Precision XOC10 Phase Power DesignSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SYNCNVIDIA GPU Boost 3.0Vulkan APIPCI Express 3.0HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIEVGA ACX 3.0 CoolingAdjustable RGB LED']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6284-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['Two 8-pin or 6+2-pin'],,['SLI Ready'],,,['Dual Slot'],,"['500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphicsslot.Total Power Draw: 215 Watts.']",['180W'],['Yes'],(50)
,['1582 MHz'],['ASUS'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1480 MHz'],,"['November 09, 2018']",['DirectX 12'],['3 x DisplayPort'],,,['11010 MHz'],"['ASUS GeForce GTX 1080 Ti Founders Edition 11GB GDDR5X- Fastest gaming GPU with 3584 NVIDIA CUDA cores and massive 11GB frame buffer, delivering 35% faster performance than the GeForce GTX 1080.- Get up to 3X the performance and power efficiency of previous generation GPUs.- Ultra-fast FinFET and high-speed GDDR5X technologies, plus support for DirectX 12 features.- NVIDIA GameWorks for a more interactive and cinematic experience, as well as incredibly smooth gameplay.- ASUS GPU Tweak II with XSplit Gamecaster for intuitive performance tweaking and instant gameplay streaming.']",,['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['GTX1080TI-FE'],['Yes'],['OpenGL 4.5'],,,['Accessories:1 x DP-DVI Dongle'],['1 x 6-pin1 x 8-pin'],,['SLI Ready'],,,['Dual Slot'],,['Graphics Card Power: 250WRecommended System Power: 600W'],,['Yes'],(19)
,['1582 MHz'],['NVIDIA'],['3584'],,['NVIDIA'],['Single Fan'],['1480 MHz'],,"['October 26, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['11010 MHz'],"[""Core Clock & Memory & Output - 1582 MHz / 1480 MHz (Boost / Base) - 11264MB GDDR5 / 11010 MHz - DisplayPort x 3 / HDMI  NVIDIA G-SYNC - Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming. GeForce GTX VR Ready - NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""]",,['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['GTX 1080 Ti Founders Edition'],,['OpenGL 4.5'],,,,['1 x 6-pin 1 x 8-pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 250W Recommended PSU: 600W'],,['Yes'],(1)
,['1708 MHz (OC mode)1683 MHz (Gaming mode)'],['ASUS'],['3584'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1594 MHz (OC mode)1569 MHz (Gaming mode)'],['1 x DVI-D'],"['October 26, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['11100 MHz (OC mode)11010 MHz (Gaming mode)'],"['1708 MHz Boost Clock (OC Mode) featuring 11GB GDDR5X 352-bit memory, 3584 CUDA cores, and 11GB Frame BufferASUS Aura Sync RGB lighting with additional 4-pin RGB header provides a nearly endless spectrum of colors with the ability to synchronize effects across an ever-expanding ecosystem of ASUS Aura Sync enabled productsMaxContact plus Auto-Extreme manufacturing technology delivers 2X more GPU to heatsink contact for increased cooling efficiency with premium quality aerospace-grade Super Alloy Power II componentsPatented wing-blade 0dB fans with FanConnect II maximizes cooling performance using three axial fans to deliver 105% more air pressure and dual 4-pin headers for referencing chassis fans to GPU temperaturesGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and a free 1-year premium license of XSplit GamecasterSupports the latest DirectX 12 and GeForce gaming features while delivering a maximum resolution of 7680 x 4320 for the ultimate 5K gaming experience5K Gaming and VR Ready with 2 x HDMI 2.0, 2 x DisplayPort 1.4, and 1 x DVI port to simultaneously connect your VR headset and up to 4 monitors']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['STRIX-GTX1080TI-O11G-GAMING'],['4'],['OpenGL 4.5'],,,['Accessory:1 x ROG Velcro Hook & Loop1 x Power Cable'],['2 x 8-Pin'],,,['ROG'],,['2.5-slot'],,,['250W'],['Yes'],291 (90% Positive)
,['1847 MHz'],['MSI'],,"['12.28"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1708 MHz'],['1 x DL-DVI-D'],"['December 20, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10108 MHz'],,,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['312 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX 1080 DUKE 8G OC'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 180WRecommended PSU: 500W'],['180W'],['Yes'],(145)
,['1645 MHz'],['MSI'],['3584'],['290mm x 143mm'],['NVIDIA'],['Double Fans'],['1531 MHz'],['1 x DL-DVI-D'],"['November 16, 2018']",['DirectX 12'],['2 x DisplayPort'],['Yes'],['None'],['11016 MHz'],,,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI'],['PCI Express 3.0 x16'],,['290 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GeForce GTX 1080 TI ARMOR 11G OC'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['250W Power consumption'],,['Yes'],(3)
