3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers
['Yes'],['1046 MHz'],['PNY'],['2880'],"['11.3"" x  4.4""']",['NVIDIA'],['Triple Fans'],['980 MHz'],['1 x DVI-D1 x DVI-I'],"['December 10, 2019']",['DirectX 11.2'],['1 x DisplayPort'],['Yes'],['7000MHz'],['NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA SurroundNVIDIA TXAA TechnologyNVIDIA FXAA TechnologySupport for four concurrent displays including:- Two dual-link DVI- HDMI 1.4b- DisplayPort 1.2 Microsoft DirectX 11.2 (feature 11_0)NVIDIA PhysX technologyNVIDIA 3D Vision-ReadyNVIDIA SLI-Ready technologyNVIDIA CUDA technologyPCI Express 3.0 supportOpenGL 4.4 supportOpenCL supportNVIDIA Shield -ReadyNVIDIA G-Sync -Ready'],,['GeForce GTX 780 Ti'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['VCGGTX780T3XPB-OC'],,['OpenGL 4.4'],,,,,,['400MHz'],,['SLI Ready'],,['Dual Slot'],,['Minimum 600W or greater system power supply (with a minimum 12V current rating of 42A)'],['250W'],,,(12)
,['1216 MHz'],['PNY'],['2048'],"['10.5"" x 4.376""']",['NVIDIA'],['Single Fan'],['1126 MHz'],['1 x DVI'],"['January 17, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7000 MHZ'],"['The GeForce GTX 980 is the world’s fastest, most advanced graphics card. Powered by new NVIDIA Maxwell architecture, it includes incredible performance and next-gen technologies for a truly elite gaming experience.This innovative GPU gives you twice the performance of previous-generation cards*, as well as realistic lighting and support for smooth, tear-free NVIDIA G-SYNC technology. Plus, it features Super Resolution technology that delivers 4K-quality gaming—even on 1080p displays.']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['VCGGTX9804XPB-CG'],,['OpenGL 4.4'],,,,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Minimun 500W Power Supply'],['165W'],,['Yes'],(21)
,['1329 MHz'],['PNY'],['2048'],"['11.2"" x 4.38""']",['NVIDIA'],,['1228 MHz'],['1 x Dual-link DVI'],"['August 28, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7.2 Gbps'],"[""The GeForce GTX 980 is the world's fastest, most advanced graphics card. Powered by new NVIDIA Maxwell architecture, it includes incredible performance and next-gen technologies for a truly elite gaming experience.KEY FEATURES- PNY XLR8 Pro Cooling technology- PNY Backplate Pre-installed- Factory Overclocked GPU and Memory- NVIDIA Super Resolution technology- NVIDIA GameWorks technology- NVIDIA GameStream technology- NVIDIA G-Sync - Ready- NVIDIA SHIELD-Ready- Microsoft DirectX 12- NVIDIA GPU Boost 2.0- NVIDIA Adaptive Vertical Sync- NVIDIA Surround technology- Support for four concurrent displays including: Dual-link DVI, Mini-HDMI1, Three Mini-DisplayPort 1.2- NVIDIA SLI-Ready- NVIDIA CUDA technology- PCI Express 3.0 support- OpenGL 4.4 & OpenCL support""]",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x mini HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160 (Digital)'],['256-Bit'],['4GB'],['GDDR4'],['VCGGTX9804XPB-XP-OC'],['4'],['OpenGL 4.4'],"['Microsoft Windows 8, Windows 7, Windows Vista']",,,,['One 8-Pin + One 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,['PCI Express-compliant motherboard with one dual-width x16 graphics slotOne 8-Pin + One 6-Pin PCI Express supplementary power connectorsMinimum 500W or greater system power supply2300MB of available hard-disk space2GB system memory (4GB or higher recommended)DVD-ROM drive and Internet connection'],['165W'],,['Yes'],(11)
,,['PNY'],,,['NVIDIA'],,,,"['February 14, 2019']",,,,,,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,,,,,,,['4GB'],['GDDR5'],['RGMGTX98N3H4GM-KTM'],,,,,,,,,,,,,,,['165W'],,,(1)
,['1266 MHz'],['ZOTAC'],['2048'],"['10.94"" x 4.38""']",['NVIDIA'],['Triple fan cooler'],['1165 MHz'],['1 x DL-DVI'],"['June 03, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"[""The GeForce GTX 980 is the world's fastest, most advanced graphics card. Powered by new NVIDIA Maxwell architecture, it includes incredible performance and next-gen technologies for a truly elite gaming experience.This innovative GPU gives you twice the performance of previous-generation cards*, as well as realistic lighting and support for smooth, tear-free NVIDIA G-SYNC technology. Plus, it features Super Resolution technology that delivers 4K-quality gaming - even on 1080p displays.FEATURESNVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Dynamic Super Resolution technologyNVIDIA MFAA technologyNVIDIA PhysX technologyNVIDIA GameWorks technologyNVIDIA Surround technologyNVIDIA GameStream technologyNVIDIA G-SYNC readyNVIDIA SHIELD readyNVIDIA SLI readyNVIDIA CUDA technology""]",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['ZT-90204-10P'],,['OpenGL 4.4'],['Certified for Windows 8 / 7 / Vista'],,,['ZOTAC GeForce GTX 980 AMP! EditionDVI-to-VGA adapter2 x Dual MOLEX-to-6-pin PCIe adaptersUser manualDriver disc'],['2 x 6-Pin'],['400MHz'],['Yes'],['3-Way SLI'],,['Dual Slot'],,['500-watt power supply recommended170-watt max power consumption2 x 6-pin PCI Express power connectors'],['165W'],,['Yes'],(33)
,['1076 MHz'],['ZOTAC'],['2816'],"['10.5"" x 4.38""']",['NVIDIA'],,['1000 MHz'],['1 x Dual-link DVI (2560 x 1600)'],"['December 13, 2019']",['DirectX 12'],['3 x DisplayPort 1.2 (4k @ 60 Hz)'],['Yes'],['7010 MHz'],['NVIDIA Dynamic Super Resolution technologyNVIDIA MFAA technologyNVIDIA PhysX technologyNVIDIA GameWorks technologyNVIDIA GameStream readyNVIDIA G-Sync readyNVIDIA SHIELD readyNVIDIA GPU Boost 2.0 technologyNVIDIA Adaptive Vertical Sync technologyNVIDIA Surround technologyNVIDIA SLI readyNVIDIA CUDA technology'],,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI (4k @ 60 Hz)'],['PCI Express 3.0'],,,['2560 x 1600 (DL-DVI)'],['384-Bit'],['6GB'],,['ZT-90501-10P'],,['OpenGL 4.4'],['Microsoft Windows Vista/7/8 x86/x64'],,,['ZOTAC GeForce GTX 980 TiDVI to VGA adapterDual 4-pin to 3x2-pin power cableDual 6-pin to 4x2-pin power cableUser ManualDriver disc'],['6-Pin'],,,['SLI Ready'],,['Dual Slot'],,['600-watt power supply recommended250-watt max power consumption'],['260W'],,['Yes'],(9)
,['1317MHz (OC Mode)1291MHz (Gaming Mode)1241MHz (Silent Mode)'],['MSI'],['2048'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1216MHz  (OC Mode)1190MHz (Gaming Mode)1140MHz (Silent Mode)'],['1 x DVI'],"['December 10, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],['OC ModeMaximum Performance through higher clock speeds and increased fan performanceGaming Mode (Default)The best balance between in-game performance and thermalSilent ModeThe best environment for minimal fan noise'],,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['GTX 980 GAMING 4G'],,['OpenGL 4.4'],,,,,['2 x 8-Pin'],,,['Quad SLI'],,['Dual Slot'],,['Minimum 500W Power Supply'],['165W'],,['Yes'],(156)
['Yes'],['1253 MHz'],['MSI'],,"['10.98"" x 5.51""']",,,['1152 MHz'],['1 x DL-DVI-I'],"['December 09, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"['Next-Gen Thermal Design: Twin Frozr V- Torx Fan:Maximizes airflow and dispersion.SuperSU Architectureimproves dissipation efficiency through special heatpipe layout.Hybrid Frozr Technology:- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.- Independent Fan Control: Maximum fan control, minimum noise.Airflow Control technologyDeflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest (reduced blue light). Support custom color, Gamma, Brightness and Contrast settings from within the Gaming App.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],,,,,['256-Bit'],['4GB'],['GDDR5'],['GTX 980 GAMING 4G LE'],,['OpenGL 4.4'],,,,['AccessoriesDriver CD: YInstallation Guide: YDVI to VGA Dongle: 1Power Cable: 8-pin x1'],['2 x 8-Pin'],,,['Quad SLI'],,,['2048 Stream Processors'],['Power Consumption: 165W'],['165W'],,['Yes'],(6)
['Yes'],['1076 MHz'],['MSI'],['2816'],"['10.83"" x 4.33""']",['NVIDIA'],['Single Fan'],['1000 MHz'],['1 x DL-DVI-I'],"['December 05, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010MHz'],"['All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12benchmark.- Supports multi-GPUsetupsGPU Boost 2.0 Technology- Ensures the GPU runs at its peak performance and games at their highest frame rate possible.- Offer new levels of customization including GPU temperature target, overclocking, and unlocked voltage3DVision Surround- Supports 3 displays in full stereoscopic 3D with a single card.- Supports up to 4 displays with a single card']",['ATX'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,,,['384-Bit'],['6GB'],['GDDR5'],['GTX 980Ti 6GD5'],,['OpenGL 4.4'],,,,,['6-Pin / 8-Pin'],,,['Quad SLI'],,,,['Power Consumption: 250W'],['260W'],,['Yes'],(12)
,['1279 MHz (OC Mode)1228 MHz (Gaming Mode)1076 MHz (Silent Mode)'],['MSI'],,"['10.59"" x 5.51""']",['NVIDIA'],['Double Fans'],['1178 MHz (OC Mode)1140 MHz (Gaming Mode)1000 MHz (Silent Mode)'],['1 x Dual-link DVI-I'],"['December 06, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz / 7096 MHz (OC Mode)'],"['Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control - choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['GTX 980TI GAMING 6G'],['4'],['OpenGL 4.4'],,,,"['Accessories:1x 8-pin Power Cable, 1x DVI to VGA Dongle']",['2 x 8-Pin'],['400MHz'],,['Quad SLI'],,['Dual Slot'],,['Power consumption: 250WRecommended Power Supply: 600W'],['260W'],,['Yes'],(191)
,['1102 MHz'],['MSI'],,"['10.91"" x 5.31""']",['NVIDIA'],,['1190 MHz'],['1 x DL-DVI-I'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"['Armor 2X Thermal DesignDelivers more airflow than traditional single fan thermal design.Huge heat sink provides better heat dissipation.Propeller Blade TechnologyProduces 20% more airflow than traditional fan design.Produces less noise than traditional fan designs.Airflow Control technologyDeflects more airflow to heatpipesand improves airflow efficiency.Increases the heatsinkarea to enhance dissipation efficiency.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],['GTX 980 4GD5T OC'],['4'],['OpenGL 4.4'],,,,['AccessoriesDriver CD: YInstallation Guide: YDVI to VGA Dongle: 1Power Cable: 6-pin to 8-pin x 1'],['2 x 8-Pin'],,,['Quad SLI'],,['Dual Slot'],['2048 Stream Processors'],['Power Consumption: 165WRecommended PSU: 500W'],['165W'],,['Yes'],(8)
,['1279 MHz (OC Mode)1228 MHz (Gaming Mode)1076 MHz (Silent Mode)'],['MSI'],,"['10.59"" x 5.51""']",['NVIDIA'],['Double Fans'],['1178 MHz (OC Mode)1140 MHz (Gaming Mode)1000 MHz (Silent Mode)'],['1 x Dual-link DVI-I'],"['December 06, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz / 7096 MHz (OC Mode)'],"['Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control - choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['VDGTX980TIGM6G'],['4'],['OpenGL 4.4'],,,,,['2 x 8-Pin'],['400MHz'],,['Quad SLI'],,['Dual Slot'],,['Power consumption: 250WRecommended Power Supply: 600W'],['260W'],,['Yes'],(2)
